Zipcode,Beds,Baths,Size,Price
10001,1.0,1.0,737.0,1095000.0
10001,2.0,1.0,750.0,1150000.0
10001,3.0,3.5,2871.0,5850000.0
10001,2.0,2.5,1750.0,9145000.0
10001,3.0,3.0,3009.0,4250000.0
10001,4.0,4.5,3436.0,9000000.0
10001,2.0,2.5,1810.0,4550000.0
10001,4.0,2.5,3870.0,3995000.0
10001,3.0,3.5,2581.0,6595000.0
10001,3.0,3.0,2211.0,5588000.0
10001,2.0,2.0,1665.0,2950000.0
10001,5.0,3.0,3436.0,7600000.0
10001,2.0,2.5,2174.0,4895000.0
10001,1.0,1.0,770.0,1175000.0
10001,3.0,3.5,2652.0,6450000.0
10001,1.0,2.0,1583.0,2250000.0
10001,2.0,2.0,1115.0,2375000.0
10001,2.0,2.0,1563.0,2750000.0
10001,3.0,2.5,1438.0,2290000.0
10001,1.0,1.0,1015.0,1875000.0
10001,1.0,1.0,829.0,1395000.0
10001,1.0,1.0,900.0,995000.0
10001,2.0,2.0,1600.0,2395000.0
10001,2.0,2.0,1563.0,2500000.0
10001,3.0,3.0,2055.0,2330000.0
10001,2.0,2.5,1583.0,3650000.0
10001,1.0,1.0,960.0,850000.0
10001,2.0,2.5,1214.0,1695000.0
10001,1.0,1.0,795.0,1125000.0
10001,2.0,2.0,1325.0,2195000.0
10001,2.0,2.5,1717.0,3850000.0
10001,3.0,3.0,2221.0,5490000.0
10001,3.0,3.5,2592.0,6395000.0
10001,2.0,2.5,1580.0,2950000.0
10001,3.0,2.5,1879.0,3950000.0
10001,5.0,4.0,3520.0,5750000.0
10001,2.0,3.5,1869.0,4380000.0
10001,2.0,1.0,800.0,1425000.0
10001,0.0,0.5,3973.0,1800000.0
10001,3.0,3.0,2386.0,4995000.0
10001,1.0,1.0,1036.0,1295000.0
10001,3.0,3.5,2656.0,7950000.0
10001,3.0,3.5,2988.0,4000000.0
10001,1.0,1.0,34689.0,1125000.0
10001,3.0,3.5,2656.0,8500000.0
10001,2.0,2.5,1519.0,2500000.0
10001,3.0,3.5,2310.0,4650000.0
10001,4.0,6.5,5139.0,21950000.0
10001,2.0,2.0,1000.0,1475000.0
10001,1.0,1.0,1162.0,1750000.0
10001,4.0,4.5,4148.0,11950000.0
10001,1.0,1.0,781.0,1200000.0
10001,4.0,4.5,3848.0,12050000.0
10001,4.0,6.5,5139.0,21950000.0
10001,2.0,2.0,1628.0,2350000.0
10001,1.0,2.0,1140.0,2225000.0
10001,5.0,3.0,4404.0,9995000.0
10001,2.0,2.0,1665.0,3250000.0
10001,5.0,3.5,3900.0,7795000.0
10001,1.0,1.0,696.0,1465000.0
15001,5.0,2.5,1941.0,75000.0
15001,4.0,2.0,1428.0,210000.0
15001,3.0,2.0,2650.0,325000.0
15001,3.0,2.5,1352.0,85000.0
15001,3.0,2.0,1144.0,287000.0
15001,5.0,2.0,2000.0,75000.0
15001,3.0,3.0,2098.0,247500.0
15001,3.0,2.0,1304.0,269000.0
15001,3.0,1.5,1196.0,148000.0
15001,3.0,1.0,1352.0,125000.0
15001,6.0,1.5,2816.0,22995.0
15001,4.0,3.0,2242.0,415000.0
15001,3.0,3.0,3276.0,324900.0
15001,3.0,1.5,1516.0,190000.0
15001,3.0,1.0,1366.0,59777.0
15001,3.0,2.5,2464.0,319500.0
15001,3.0,1.0,748.0,79000.0
15001,3.0,2.0,1592.0,65000.0
15001,2.0,1.5,1038.0,200000.0
15001,4.0,2.5,2121.0,225000.0
15001,4.0,1.5,1440.0,200000.0
15001,3.0,2.0,1040.0,272000.0
15001,2.0,1.0,960.0,79900.0
15001,3.0,2.0,2284.0,269900.0
15001,3.0,2.5,1466.0,194772.0
15001,4.0,2.0,1060.0,129900.0
15001,2.0,1.5,1388.0,180000.0
15001,3.0,1.5,1900.0,245900.0
15001,3.0,1.0,1352.0,67900.0
15001,5.0,2.5,2212.0,275000.0
15001,3.0,2.5,1972.0,349900.0
15001,2.0,1.5,864.0,169900.0
15001,3.0,1.5,1232.0,79900.0
15001,4.0,4.5,4832.0,1000000.0
15001,6.0,2.0,1765.0,90000.0
15001,2.0,1.0,896.0,68900.0
15001,4.0,2.0,1606.0,69000.0
15001,3.0,1.0,1091.0,150000.0
15001,2.0,2.0,1791.0,44900.0
